gene,grad_abs
SPTBN1,0.15238401
COIL,0.15234223
FAM60A,0.15233839
TMED5,0.1523169
C9orf72,0.15231353
SLC39A8,0.15221429
ARHGEF18,0.15220715
MAPRE2,0.15217976
PARP12,0.15214258
RASSF2,0.15204895
TARS,0.15199307
EIF1AD,0.15198912
CLPTM1,0.15197468
SHARPIN,0.15196274
MRPL45,0.151898
ATG9A,0.1518856
OLIG1,0.15186052
AASDH,0.15185586
METTL9,0.15185575
UBE2E1,0.15177208
KIDINS220,0.15175739
OSER1,0.15174559
PSMB7,0.15169221
SLC35E4,0.15168618
PLK4,0.1516782
CTSL,0.15167286
FAM228B,0.15160067
PXK,0.15153545
FBXL8,0.15146159
VPS33B,0.15144257
ZNF570,0.15143707
SIGLEC7,0.15134637
RAD52,0.15132603
ATP5E,0.15122837
C1orf123,0.15120316
PRKCQ,0.15110889
INO80,0.1510697
HRK,0.1510176
LYRM1,0.15097433
CTD-2035E11.5,0.15097007
SGSM2,0.15093608
KIR3DL2,0.15092939
DCAF12,0.1508579
ZNF182,0.15083373
GCHFR,0.15074518
RP11-727F15.12,0.15073828
SH3D19,0.15073131
CFL1,0.15072127
IKBKAP,0.1506781
FKBP1A,0.15063594
SLC27A1,0.15057397
ZNF467,0.15052912
ZNF525,0.15052468
YWHAE,0.15033048
PTAR1,0.15024497
NOC3L,0.15017326
IFNAR1,0.15015128
PIAS1,0.15008016
PLBD2,0.15005514
SLC39A6,0.15000966
BET1,0.14997002
SEC24C,0.14995366
PTDSS1,0.14990129
MDP1,0.14989752
TMED10,0.1498232
ZNF324,0.1497626
DPP8,0.14976084
MINOS1-NBL1,0.14976004
CLECL1,0.14973982
RP11-291B21.2,0.14970005
LARP4B,0.14967956
SLC10A3,0.14964442
ARHGAP24,0.14962693
BEX5,0.1496241
PCIF1,0.149613
ARL5A,0.14956017
ACPP,0.1495358
TMSB4Y,0.14947633
UNC93B1,0.14945625
SLC41A1,0.14945327
RWDD1,0.14942232
SNRNP48,0.14937706
MOB1A,0.14935598
SEC22C,0.14933321
SUPT7L,0.1493266
SLC38A2,0.14927998
PLA2G12A,0.14926806
PSMB4,0.14926331
AC147651.3,0.14921601
SAV1,0.14920072
ZNF257,0.14919703
POLE,0.149191
TK2,0.1491139
DOK1,0.14910075
FAM129C,0.14906211
TCN2,0.14904459
RP11-498C9.15,0.1490258
PDIK1L,0.14902191
MPND,0.14901213
ORAOV1,0.1490111
EXOSC1,0.14897405
CTD-2256P15.4,0.14892809
ETS2,0.14892387
GIMAP5,0.14889266
SOCS5,0.14888136
RALY,0.14886107
FAM120C,0.1488358
FAM53B,0.1487795
ZSCAN25,0.1487789
MAPK6,0.14874084
SLC25A45,0.14870411
GPN3,0.14862886
TPP2,0.14854094
MT-CO2,0.14851911
RP11-506M13.3,0.14850888
CCM2,0.14850679
CDNF,0.14849739
QSOX1,0.14844781
AP5M1,0.14842609
STAT6,0.14838003
NELFA,0.14836682
C9orf40,0.14836158
ATP11B,0.14831522
ATG16L2,0.14831486
RNF10,0.14829418
ZNF593,0.14828596
SPSB2,0.14827175
WDHD1,0.14820528
COBLL1,0.1482047
TENM1,0.14818011
UBA7,0.14815882
ZNF75A,0.14815488
LINC00910,0.1481441
EPB41L5,0.14814322
UBE2O,0.14814302
RP11-178L8.7,0.14809394
ETV7,0.1480655
TNFSF10,0.14804555
GTPBP3,0.14801851
ARL5B,0.14801392
TEPP,0.14798212
QRICH1,0.14797562
SIGLEC1,0.14795865
EEF1G,0.14794171
TTC39B,0.1479283
GLE1,0.1479265
TM7SF3,0.14787269
STUB1,0.14779536
TJP2,0.1477425
ZBTB45,0.14766929
RAD54L2,0.14761339
ST6GALNAC6,0.14760835
ARHGAP32,0.14759678
CD151,0.1475904
SRP14,0.14758153
CPD,0.14755856
NCAPD3,0.1475343
LRRC8D,0.14752287
CHCHD4,0.1475137
PLEKHJ1,0.14749667
MORC3,0.14741385
VPS39,0.14739628
PHYH,0.14734414
USE1,0.14733046
MLF1,0.14729974
PARK7,0.14728665
DOCK11,0.14724864
C19orf83,0.14723124
DGCR6L,0.14721666
SLC36A1,0.14721173
H2AFZ,0.14719848
MAN1A1,0.14711724
TNK2,0.1471155
AC069513.4,0.14711258
AGO3,0.14708427
TUT1,0.14708087
KIAA1551,0.1470205
C6orf1,0.14701138
TMEM216,0.14692491
RPF2,0.1468962
RIPK1,0.14685363
SEL1L3,0.14679475
MTMR8,0.14677595
C3orf17,0.14668316
SPEG,0.1466622
CREM,0.14665799
BCO2,0.14663346
STAG2,0.1466296
PIK3CA,0.14659436
AHR,0.14651822
DNPH1,0.14650822
MTMR6,0.14649579
DAK,0.14644286
ZNF613,0.14640677
RP13-270P17.3,0.14636666
SLC25A35,0.14634413
RFC2,0.14631516
LINC00422,0.14622986
GTF2H2,0.14622602
TTC16,0.14618315
SGPL1,0.14617935
KIF5C,0.1461756
TATDN3,0.14615194
POU2F1,0.14614888
TMEM206,0.14614603
SLC30A7,0.14597298
FKRP,0.14596756
LSG1,0.14594214
SAP30,0.1459136
WRAP53,0.14591272
CCDC112,0.14587541
CYBRD1,0.14584592
TBC1D25,0.14583825
AC002116.7,0.14579788
GPR150,0.14579782
ZNF627,0.14579754
PMM2,0.14579032
PNN,0.14578934
PPP1CC,0.14577165
SCYL1,0.14575155
B3GALT2,0.1457334
RAB33A,0.14571616
FGD6,0.14571367
RNF217,0.14567056
R3HCC1L,0.14563829
ACP6,0.14561726
PSMA2-1,0.14558482
MAP3K1,0.14546947
TSPAN13,0.14544356
RP5-1092A3.4,0.1454265
GRWD1,0.14539488
PGAP3,0.14530076
NCEH1,0.14526118
PMS1,0.14525919
VCPKMT,0.145242
JUNB,0.14522906
TVP23C,0.14522815
STAMBP,0.14519756
PLEKHA4,0.14517696
STX17,0.14515357
USP44,0.14515352
TMEM127,0.14510757
USP7,0.1450152
HRAS,0.1449651
AEBP2,0.14496234
DGCR2,0.14496204
TMEM176A,0.1449588
F12,0.14494768
CXorf56,0.14488584
MRPL30,0.14482586
TAF1,0.14480731
GALC,0.14478058
IPP,0.14471959
AGER,0.14470321
DPH3,0.14465392
RNF126,0.1446514
ZNF436,0.1446437
TKTL1,0.14462374
PLAG1,0.14461896
FANCG,0.1446033
PIP4K2B,0.14459185
EBF1,0.1445473
SIGLEC5,0.14452054
TNFSF14,0.14450563
NR1D1,0.14450476
PVRL3,0.14448321
TIMM23,0.14447568
ZEB2,0.14446044
RP11-119F19.2,0.14437954
IFITM1,0.1443696
TEFM,0.1443245
IL18RAP,0.14429559
EXOC6,0.14424966
STAP2,0.14424841
FAM65A,0.14423187
CDC42SE2,0.14421797
LIN52,0.1442137
TBC1D22A,0.1442046
PEX11B,0.14419967
CUL5,0.14419128
ANXA6,0.14418846
SUMO4,0.144153
SEMA4D,0.14413479
STYX,0.14411433
SFT2D1,0.14405245
ADSL,0.14400467
TARS2,0.14399293
NGRN,0.14399076
ACVR1,0.14387184
SLC25A38,0.14383945
PSMB2,0.1438187
CD248,0.1437817
GADD45GIP1,0.14376682
RP11-332H14.2,0.14374259
HLA-F,0.14367439
CEP97,0.14364228
LATS2-AS1,0.14362523
RRM2B,0.14359236
LIPE-AS1,0.14358138
DHFR,0.14356172
RORA,0.14353542
ENY2,0.14351477
NCOA3,0.14344719
DPH1,0.14344253
TMEM41A,0.14338155
TLE1,0.14337297
RELB,0.14332841
THBS1,0.14314905
MKNK1,0.1431284
LINC00909,0.1431223
DNPEP,0.14312086
ZBTB37,0.14310941
NUDT2,0.14304473
RP11-138I18.2,0.14304173
PKD1,0.14302884
SLC46A3,0.14299805
DMAP1,0.14295201
ERF,0.14288992
TRMT1L,0.14288515
IFT20,0.14287758
ZWILCH,0.14287232
RP11-85A1.3,0.1428671
AC074138.3,0.14285105
NRROS,0.14284934
RP5-1021I20.1,0.14284733
TSR3,0.14284115
SNX9,0.14282769
DIP2B,0.1427744
TIMM10,0.1427279
ZNF785,0.14271347
ZNF207,0.142667
BAG3,0.14264134
RP11-379H18.1,0.14262834
PPAPDC2,0.14262329
SMPD3,0.14262292
CD96,0.1425652
SYTL2,0.14255284
GOLPH3L,0.14249343
NNT,0.1424895
SAMD1,0.14247277
HIST1H2AH,0.14247222
MYH10,0.14244132
DGKA,0.14240651
MIR4435-1HG,0.14237842
BLOC1S6,0.14228982
C4orf48,0.14228155
COMMD6,0.14213486
FBXO21,0.14211617
AGAP4,0.14204033
ABI1,0.14201067
ACTR3B,0.14198332
CKM,0.14192116
C11orf71,0.14188059
AC131056.3,0.14183627
DUSP10,0.14182515
PSMA6,0.1417793
CTA-250D10.23,0.14177746
FEZ2,0.14176647
FAM122B,0.14172237
CDC42,0.14169945
DMKN,0.14169788
SREK1IP1,0.14167461
FAM195B,0.1416555
SZT2,0.14164129
KANSL2,0.14163576
AL139099.1,0.14157157
CPEB4,0.14156361
PLEKHB1,0.14152473
AKAP1,0.14150949
COX6A1,0.14150694
CPLX1,0.14147408
ADAM10,0.14145893
UBL4A,0.14145748
LEMD2,0.1414037
RSRC2,0.14138658
RP11-563N4.1,0.1413733
RP11-644F5.11,0.14136784
MICU1,0.14134715
LINC00493,0.14133741
ABCC10,0.14130616
BPNT1,0.14130232
BCL2L12,0.1412526
FAM212B,0.1412486
NELL2,0.14123487
SLC4A8,0.14123482
TRIM37,0.14123109
RP11-464F9.20,0.14120336
SP140L,0.14112747
HEXB,0.14110374
MAN1C1,0.14110143
KCTD13,0.14108287
CALD1,0.14106973
CSF2RB,0.14102316
NUF2,0.14091472
BAD,0.14083956
B3GNTL1,0.14083
PRKAR2A,0.14081497
ISCA2,0.14078894
RBM5,0.14074318
HRSP12,0.14073676
BOLA3,0.14073248
UNC119,0.14072502
CCDC50,0.14072412
ENGASE,0.14057347
C11orf49,0.14055714
HGSNAT,0.14053363
FAM160A2,0.14052176
C2orf62,0.1405036
SKP1,0.14049296
TUBG1,0.14049283
DPY19L1,0.14049192
FUZ,0.14048296
CTD-2165H16.4,0.14047256
UBE2J1,0.14046839
EFCAB13,0.14046077
KCNMB3,0.14044635
